Table E200-1: GDP by major expenditure component and per capita GDP at current market prices,,,,,,,,,,,,,,,,,,,,,,,,,Index
2021r,,"2,867,740 ",7.2 ,"386,848 ",8.2 ,"2,708,027 ",3.2 ,"8,559,101 ",16.6 ,"1,863,394 ",5.0 ,"363,530 ",6.6 ,"483,012 ",6.0 ,"-1,909 ","5,236,005 ",24.7 ,"615,069 ",18.5 ,"5,211,334 ",22.9 ,"480,027 ",12.6 ,
2022r,,"2,827,009 ",-1.4 ,"384,831 ",-0.5 ,"2,710,789 ",0.1 ,"8,179,415 ",-4.4 ,"1,882,407 ",1.0 ,"404,294 ",11.2 ,"452,771 ",-6.3 ,"-28,683 ","4,814,050 ",-8.1 ,"654,576 ",6.4 ,"4,859,272 ",-6.8 ,"493,134 ",2.7 ,
1973,1,"9,697 ",-,-,-,"9,039 ",-,"16,249 ",-,"6,222 ",-,515 ,-,"2,147 ",-,155 ,"4,945 ",-,"2,265 ",-,"5,487 ",-,"1,065 ",-,
,2,"9,586 ",-,-,-,"9,070 ",-,"17,096 ",-,"6,164 ",-,478 ,-,"2,320 ",-,108 ,"5,758 ",-,"2,268 ",-,"6,404 ",-,"1,106 ",-,
,3,"10,979 ",-,-,-,"9,686 ",-,"19,517 ",-,"6,810 ",-,554 ,-,"2,261 ",-,61 ,"7,479 ",-,"2,352 ",-,"7,248 ",-,"1,290 ",-,
,4,"11,064 ",-,-,-,"10,923 ",-,"21,158 ",-,"7,920 ",-,598 ,-,"2,426 ",-,-21 ,"7,817 ",-,"2,418 ",-,"8,773 ",-,"1,321 ",-,
1974,1,"11,664 ",20.3 ,-,-,"10,826 ",19.8 ,"20,880 ",28.5 ,"7,106 ",14.2 ,655 ,27.2 ,"2,568 ",19.6 ,497 ,"7,077 ",43.1 ,"2,977 ",31.4 ,"7,758 ",41.4 ,"1,458 ",36.9 ,
,2,"11,371 ",18.6 ,-,-,"11,298 ",24.6 ,"22,319 ",30.6 ,"7,832 ",27.1 ,613 ,28.2 ,"2,701 ",16.4 ,152 ,"8,093 ",40.6 ,"2,928 ",29.1 ,"9,402 ",46.8 ,"1,546 ",39.8 ,
,3,"12,412 ",13.1 ,-,-,"11,605 ",19.8 ,"22,360 ",14.6 ,"7,790 ",14.4 ,746 ,34.7 ,"2,826 ",25.0 ,243 ,"8,085 ",8.1 ,"2,670 ",13.5 ,"8,384 ",15.7 ,"1,564 ",21.2 ,
,4,"11,794 ",6.6 ,-,-,"11,247 ",3.0 ,"20,343 ",-3.9 ,"8,072 ",1.9 ,738 ,23.4 ,"2,651 ",9.3 ,-214 ,"6,781 ",-13.3 ,"2,315 ",-4.3 ,"7,289 ",-16.9 ,"1,260 ",-4.6 ,
1975,1,"11,914 ",2.1 ,-,-,"11,244 ",3.9 ,"20,169 ",-3.4 ,"7,752 ",9.1 ,779 ,18.9 ,"2,621 ",2.1 ,92 ,"6,086 ",-14.0 ,"2,839 ",-4.6 ,"6,736 ",-13.2 ,"1,519 ",4.2 ,
,2,"11,831 ",4.0 ,-,-,"11,048 ",-2.2 ,"20,824 ",-6.7 ,"7,653 ",-2.3 ,707 ,15.3 ,"2,540 ",-6.0 ,148 ,"6,930 ",-14.4 ,"2,846 ",-2.8 ,"7,537 ",-19.8 ,"1,456 ",-5.8 ,
,3,"13,010 ",4.8 ,-,-,"12,067 ",4.0 ,"23,321 ",4.3 ,"8,038 ",3.2 ,725 ,-2.8 ,"2,678 ",-5.2 ,626 ,"8,315 ",2.8 ,"2,939 ",10.1 ,"8,572 ",2.2 ,"1,739 ",11.2 ,
,4,"12,833 ",8.8 ,-,-,"12,457 ",10.8 ,"23,859 ",17.3 ,"9,021 ",11.8 ,762 ,3.3 ,"2,809 ",6.0 ,-135 ,"8,501 ",25.4 ,"2,901 ",25.3 ,"9,436 ",29.5 ,"1,590 ",26.2 ,
1976,1,"14,890 ",25.0 ,-,-,"13,443 ",19.6 ,"26,188 ",29.8 ,"8,282 ",6.8 ,821 ,5.4 ,"2,944 ",12.3 ,"1,396 ","8,955 ",47.1 ,"3,790 ",33.5 ,"9,410 ",39.7 ,"1,888 ",24.3 ,
,2,"14,721 ",24.4 ,-,-,"13,321 ",20.6 ,"27,184 ",30.5 ,"9,093 ",18.8 ,831 ,17.5 ,"3,177 ",25.1 ,220 ,"10,104 ",45.8 ,"3,759 ",32.1 ,"10,542 ",39.9 ,"1,921 ",31.9 ,
,3,"16,650 ",28.0 ,-,-,"14,383 ",19.2 ,"29,371 ",25.9 ,"8,890 ",10.6 ,880 ,21.4 ,"3,324 ",24.1 ,"1,289 ","11,254 ",35.3 ,"3,734 ",27.1 ,"10,632 ",24.0 ,"2,089 ",20.1 ,
,4,"16,896 ",31.7 ,-,-,"15,264 ",22.5 ,"30,156 ",26.4 ,"10,677 ",18.4 ,907 ,19.0 ,"3,606 ",28.4 ,74 ,"11,244 ",32.3 ,"3,648 ",25.7 ,"11,355 ",20.3 ,"1,905 ",19.8 ,
1977,1,"17,492 ",17.5 ,-,-,"16,780 ",24.8 ,"30,522 ",16.5 ,"9,951 ",20.2 ,"1,000 ",21.8 ,"4,226 ",43.5 ,"1,603 ","9,534 ",6.5 ,"4,208 ",11.0 ,"10,767 ",14.4 ,"2,263 ",19.9 ,
,2,"17,111 ",16.2 ,-,-,"16,281 ",22.2 ,"31,291 ",15.1 ,"10,608 ",16.7 ,969 ,16.6 ,"4,319 ",35.9 ,385 ,"10,852 ",7.4 ,"4,158 ",10.6 ,"11,875 ",12.6 ,"2,305 ",20.0 ,
,3,"19,151 ",15.0 ,-,-,"16,809 ",16.9 ,"32,966 ",12.2 ,"11,538 ",29.8 ,"1,018 ",15.7 ,"4,291 ",29.1 ,-38 ,"12,175 ",8.2 ,"3,982 ",6.6 ,"11,355 ",6.8 ,"2,460 ",17.8 ,
,4,"19,529 ",15.6 ,-,-,"18,626 ",22.0 ,"34,807 ",15.4 ,"12,874 ",20.6 ,"1,102 ",21.5 ,"4,898 ",35.8 ,-248 ,"12,272 ",9.1 ,"3,909 ",7.2 ,"13,063 ",15.0 ,"2,215 ",16.3 ,
1978,1,"20,310 ",16.1 ,-,-,"20,716 ",23.5 ,"35,727 ",17.1 ,"12,240 ",23.0 ,"1,190 ",19.0 ,"5,200 ",23.0 ,"2,086 ","10,351 ",8.6 ,"4,660 ",10.7 ,"12,640 ",17.4 ,"2,777 ",22.7 ,
,2,"20,643 ",20.6 ,-,-,"20,006 ",22.9 ,"38,004 ",21.5 ,"12,969 ",22.3 ,"1,154 ",19.1 ,"5,297 ",22.6 ,586 ,"13,045 ",20.2 ,"4,953 ",19.1 ,"14,683 ",23.6 ,"2,678 ",16.2 ,
,3,"21,683 ",13.2 ,-,-,"20,489 ",21.9 ,"40,077 ",21.6 ,"13,924 ",20.7 ,"1,253 ",23.1 ,"5,621 ",31.0 ,-309 ,"14,686 ",20.6 ,"4,902 ",23.1 ,"15,338 ",35.1 ,"3,056 ",24.2 ,
,4,"23,146 ",18.5 ,-,-,"23,701 ",27.2 ,"44,520 ",27.9 ,"16,245 ",26.2 ,"1,292 ",17.2 ,"6,460 ",31.9 ,-296 ,"15,826 ",29.0 ,"4,993 ",27.7 ,"18,413 ",41.0 ,"2,961 ",33.7 ,
1979,1,"24,852 ",22.4 ,-,-,"25,286 ",22.1 ,"45,548 ",27.5 ,"14,834 ",21.2 ,"1,528 ",28.4 ,"7,426 ",42.8 ,"1,498 ","14,323 ",38.4 ,"5,939 ",27.4 ,"17,073 ",35.1 ,"3,623 ",30.5 ,
,2,"26,794 ",29.8 ,-,-,"26,352 ",31.7 ,"51,098 ",34.5 ,"16,089 ",24.1 ,"1,411 ",22.3 ,"7,627 ",44.0 ,"1,225 ","18,281 ",40.1 ,"6,465 ",30.5 ,"20,430 ",39.1 ,"3,874 ",44.7 ,
,3,"29,375 ",35.5 ,-,-,"27,840 ",35.9 ,"55,642 ",38.8 ,"17,536 ",25.9 ,"1,524 ",21.6 ,"8,638 ",53.7 ,142 ,"21,412 ",45.8 ,"6,390 ",30.4 ,"21,874 ",42.6 ,"4,393 ",43.8 ,
,4,"31,669 ",36.8 ,-,-,"31,756 ",34.0 ,"59,953 ",34.7 ,"19,792 ",21.8 ,"1,743 ",34.9 ,"9,830 ",52.2 ,391 ,"21,918 ",38.5 ,"6,279 ",25.8 ,"24,060 ",30.7 ,"4,224 ",42.7 ,
1980,1,"31,753 ",27.8 ,-,-,"33,264 ",31.6 ,"60,044 ",31.8 ,"19,668 ",32.6 ,"1,820 ",19.1 ,"10,796 ",45.4 ,980 ,"19,771 ",38.0 ,"7,009 ",18.0 ,"23,338 ",36.7 ,"4,953 ",36.7 ,
,2,"34,829 ",30.0 ,-,-,"34,441 ",30.7 ,"66,681 ",30.5 ,"20,083 ",24.8 ,"1,929 ",36.7 ,"11,033 ",44.7 ,"1,396 ","24,649 ",34.8 ,"7,591 ",17.4 ,"26,838 ",31.4 ,"5,014 ",29.4 ,
,3,"38,021 ",29.4 ,-,-,"36,282 ",30.3 ,"70,311 ",26.4 ,"22,307 ",27.2 ,"2,035 ",33.5 ,"11,937 ",38.2 ,3 ,"26,738 ",24.9 ,"7,291 ",14.1 ,"26,966 ",23.3 ,"5,324 ",21.2 ,
,4,"39,017 ",23.2 ,-,-,"40,374 ",27.1 ,"74,780 ",24.7 ,"24,175 ",22.1 ,"2,288 ",31.3 ,"12,545 ",27.6 ,"1,366 ","27,207 ",24.1 ,"7,199 ",14.7 ,"30,605 ",27.2 ,"5,158 ",22.1 ,
1981,1,"39,376 ",24.0 ,-,-,"42,318 ",27.2 ,"76,443 ",27.3 ,"24,470 ",24.4 ,"3,209 ",76.3 ,"13,215 ",22.4 ,"1,424 ","25,554 ",29.2 ,"8,571 ",22.3 ,"30,168 ",29.3 ,"6,899 ",39.3 ,
,2,"41,166 ",18.2 ,-,-,"42,349 ",23.0 ,"80,688 ",21.0 ,"24,628 ",22.6 ,"2,680 ",38.9 ,"14,174 ",28.5 ,867 ,"29,509 ",19.7 ,"8,830 ",16.3 ,"33,235 ",23.8 ,"6,287 ",25.4 ,
,3,"44,885 ",18.1 ,-,-,"43,747 ",20.6 ,"85,691 ",21.9 ,"25,927 ",16.2 ,"2,751 ",35.2 ,"14,328 ",20.0 ,741 ,"33,114 ",23.8 ,"8,830 ",21.1 ,"34,023 ",26.2 ,"6,783 ",27.4 ,
,4,"48,150 ",23.4 ,-,-,"47,799 ",18.4 ,"90,536 ",21.1 ,"28,697 ",18.7 ,"3,204 ",40.0 ,"14,977 ",19.4 ,921 ,"33,795 ",24.2 ,"8,942 ",24.2 ,"36,131 ",18.1 ,"6,255 ",21.3 ,
1982,1,"45,698 ",16.1 ,-,-,"47,028 ",11.1 ,"85,225 ",11.5 ,"28,866 ",18.0 ,"3,446 ",7.4 ,"15,162 ",14.7 ,-446 ,"27,910 ",9.2 ,"10,287 ",20.0 ,"32,084 ",6.4 ,"7,443 ",7.9 ,
,2,"46,641 ",13.3 ,-,-,"46,353 ",9.5 ,"87,305 ",8.2 ,"27,625 ",12.2 ,"3,522 ",31.4 ,"13,848 ",-2.3 ,"1,358 ","30,916 ",4.8 ,"10,036 ",13.7 ,"33,648 ",1.2 ,"7,016 ",11.6 ,
,3,"51,474 ",14.7 ,-,-,"50,045 ",14.4 ,"93,077 ",8.6 ,"31,062 ",19.8 ,"3,641 ",32.4 ,"15,326 ",7.0 ,16 ,"33,281 ",0.5 ,"9,751 ",10.4 ,"34,123 ",0.3 ,"7,480 ",10.3 ,
,4,"52,192 ",8.4 ,-,-,"51,473 ",7.7 ,"95,639 ",5.6 ,"32,427 ",13.0 ,"3,581 ",11.8 ,"14,990 ",0.1 ,475 ,"34,392 ",1.8 ,"9,774 ",9.3 ,"36,657 ",1.5 ,"6,790 ",8.6 ,
1983,1,"48,061 ",5.2 ,-,-,"48,713 ",3.6 ,"88,582 ",3.9 ,"33,165 ",14.9 ,"3,989 ",15.8 ,"12,771 ",-15.8 ,"-1,212 ","29,328 ",5.1 ,"10,541 ",2.5 ,"32,441 ",1.1 ,"8,080 ",8.6 ,
,2,"51,113 ",9.6 ,-,-,"50,714 ",9.4 ,"98,793 ",13.2 ,"32,677 ",18.3 ,"3,981 ",13.0 ,"12,627 ",-8.8 ,"1,429 ","36,811 ",19.1 ,"11,268 ",12.3 ,"39,573 ",17.6 ,"8,107 ",15.6 ,
,3,"56,989 ",10.7 ,-,-,"54,502 ",8.9 ,"109,611 ",17.8 ,"35,586 ",14.6 ,"4,022 ",10.5 ,"13,782 ",-10.1 ,"1,112 ","43,449 ",30.6 ,"11,660 ",19.6 ,"43,322 ",27.0 ,"9,300 ",24.3 ,
,4,"61,119 ",17.1 ,-,-,"59,430 ",15.5 ,"120,764 ",26.3 ,"37,924 ",17.0 ,"4,067 ",13.6 ,"14,439 ",-3.7 ,"3,000 ","48,558 ",41.2 ,"12,776 ",30.7 ,"50,474 ",37.7 ,"9,171 ",35.1 ,
1984,1,"58,936 ",22.6 ,-,-,"57,131 ",17.3 ,"115,246 ",30.1 ,"38,885 ",17.2 ,"4,373 ",9.6 ,"13,889 ",8.8 ,-16 ,"44,771 ",52.7 ,"13,344 ",26.6 ,"45,781 ",41.1 ,"10,529 ",30.3 ,
,2,"63,922 ",25.1 ,-,-,"60,154 ",18.6 ,"127,392 ",28.9 ,"37,321 ",14.2 ,"4,288 ",7.7 ,"14,542 ",15.2 ,"4,003 ","52,835 ",43.5 ,"14,403 ",27.8 ,"52,846 ",33.5 ,"10,624 ",31.0 ,
,3,"69,741 ",22.4 ,-,-,"61,180 ",12.3 ,"134,528 ",22.7 ,"41,114 ",15.5 ,"4,553 ",13.2 ,"14,566 ",5.7 ,947 ,"59,440 ",36.8 ,"13,908 ",19.3 ,"53,794 ",24.2 ,"10,993 ",18.2 ,
,4,"69,393 ",13.5 ,-,-,"62,561 ",5.3 ,"136,218 ",12.8 ,"41,968 ",10.7 ,"4,551 ",11.9 ,"15,173 ",5.1 ,869 ,"59,816 ",23.2 ,"13,841 ",8.3 ,"56,339 ",11.6 ,"10,486 ",14.3 ,
1985,1,"67,354 ",14.3 ,-,-,"60,496 ",5.9 ,"129,564 ",12.4 ,"41,276 ",6.1 ,"4,736 ",8.3 ,"14,384 ",3.6 ,100 ,"53,266 ",19.0 ,"15,802 ",18.4 ,"50,135 ",9.5 ,"12,075 ",14.7 ,
,2,"67,087 ",5.0 ,-,-,"60,535 ",0.6 ,"133,433 ",4.7 ,"40,774 ",9.3 ,"4,692 ",9.4 ,"14,648 ",0.7 ,421 ,"57,324 ",8.5 ,"15,574 ",8.1 ,"54,505 ",3.1 ,"11,841 ",11.5 ,
,3,"71,300 ",2.2 ,-,-,"61,894 ",1.2 ,"134,904 ",0.3 ,"43,239 ",5.2 ,"4,963 ",9.0 ,"13,762 ",-5.5 ,-70 ,"59,080 ",-0.6 ,"13,930 ",0.2 ,"51,676 ",-3.9 ,"11,928 ",8.5 ,
,4,"72,386 ",4.3 ,-,-,"67,281 ",7.5 ,"141,334 ",3.8 ,"45,635 ",8.7 ,"5,093 ",11.9 ,"15,535 ",2.4 ,"1,018 ","59,653 ",-0.3 ,"14,400 ",4.0 ,"57,168 ",1.5 ,"11,780 ",12.3 ,
1986,1,"70,571 ",4.8 ,-,-,"67,049 ",10.8 ,"134,490 ",3.8 ,"46,367 ",12.3 ,"5,502 ",16.2 ,"15,455 ",7.4 ,-275 ,"51,263 ",-3.8 ,"16,178 ",2.4 ,"50,591 ",0.9 ,"13,328 ",10.4 ,
,2,"74,616 ",11.2 ,-,-,"69,829 ",15.4 ,"149,685 ",12.2 ,"45,343 ",11.2 ,"5,425 ",15.6 ,"15,993 ",9.2 ,"3,068 ","62,743 ",9.5 ,"17,113 ",9.9 ,"61,265 ",12.4 ,"13,804 ",16.6 ,
,3,"85,058 ",19.3 ,-,-,"73,765 ",19.2 ,"163,864 ",21.5 ,"49,485 ",14.4 ,"5,606 ",13.0 ,"16,971 ",23.3 ,"1,703 ","72,502 ",22.7 ,"17,597 ",26.3 ,"64,128 ",24.1 ,"14,678 ",23.1 ,
,4,"90,281 ",24.7 ,-,-,"80,703 ",19.9 ,"178,915 ",26.6 ,"52,675 ",15.4 ,"5,836 ",14.6 ,"20,505 ",32.0 ,"1,687 ","79,421 ",33.1 ,"18,791 ",30.5 ,"73,495 ",28.6 ,"15,139 ",28.5 ,
1987,1,"86,263 ",22.2 ,-,-,"80,920 ",20.7 ,"172,202 ",28.0 ,"53,258 ",14.9 ,"6,100 ",10.9 ,"20,604 ",33.3 ,958 ,"70,711 ",37.9 ,"20,571 ",27.2 ,"69,109 ",36.6 ,"16,830 ",26.3 ,
,2,"91,874 ",23.1 ,-,-,"84,623 ",21.2 ,"192,008 ",28.3 ,"54,396 ",20.0 ,"5,926 ",9.2 ,"21,496 ",34.4 ,"2,805 ","85,436 ",36.2 ,"21,949 ",28.3 ,"82,290 ",34.3 ,"17,844 ",29.3 ,
,3,"107,442 ",26.3 ,-,-,"90,704 ",23.0 ,"211,871 ",29.3 ,"57,623 ",16.4 ,"6,253 ",11.5 ,"24,457 ",44.1 ,"2,371 ","98,438 ",35.8 ,"22,729 ",29.2 ,"85,757 ",33.7 ,"18,672 ",27.2 ,
,4,"109,192 ",20.9 ,-,-,"97,413 ",20.7 ,"222,763 ",24.5 ,"60,683 ",15.2 ,"6,513 ",11.6 ,"26,605 ",29.7 ,"3,612 ","101,346 ",27.6 ,"24,004 ",27.7 ,"94,410 ",28.5 ,"19,161 ",26.6 ,
1988,1,"102,429 ",18.7 ,-,-,"94,044 ",16.2 ,"208,746 ",21.2 ,"62,656 ",17.6 ,"6,757 ",10.8 ,"26,137 ",26.9 ,"-1,506 ","90,060 ",27.4 ,"24,642 ",19.8 ,"84,982 ",23.0 ,"21,335 ",26.8 ,
,2,"109,030 ",18.7 ,-,-,"103,371 ",22.2 ,"236,747 ",23.3 ,"62,274 ",14.5 ,"6,878 ",16.1 ,"28,214 ",31.3 ,"6,005 ","106,950 ",25.2 ,"26,426 ",20.4 ,"105,353 ",28.0 ,"22,364 ",25.3 ,
,3,"124,467 ",15.8 ,-,-,"110,006 ",21.3 ,"262,054 ",23.7 ,"66,926 ",16.1 ,"7,550 ",20.7 ,"30,549 ",24.9 ,"4,981 ","126,189 ",28.2 ,"25,859 ",13.8 ,"113,349 ",32.2 ,"24,238 ",29.8 ,
,4,"130,151 ",19.2 ,-,-,"117,053 ",20.2 ,"276,839 ",24.3 ,"71,976 ",18.6 ,"7,315 ",12.3 ,"33,110 ",24.5 ,"4,652 ","132,187 ",30.4 ,"27,599 ",15.0 ,"122,395 ",29.6 ,"24,293 ",26.8 ,
1989,1,"120,455 ",17.6 ,-,-,"115,558 ",22.9 ,"255,915 ",22.6 ,"73,046 ",16.6 ,"8,135 ",20.4 ,"33,812 ",29.4 ,565 ,"112,000 ",24.4 ,"28,357 ",15.1 ,"109,192 ",28.5 ,"26,268 ",23.1 ,
,2,"128,238 ",17.6 ,-,-,"120,313 ",16.4 ,"276,612 ",16.8 ,"71,394 ",14.6 ,"8,241 ",19.8 ,"35,227 ",24.9 ,"5,451 ","126,809 ",18.6 ,"29,490 ",11.6 ,"121,800 ",15.6 ,"26,574 ",18.8 ,
,3,"141,935 ",14.0 ,-,-,"117,504 ",6.8 ,"287,437 ",9.7 ,"75,265 ",12.5 ,"8,553 ",13.3 ,"34,995 ",14.6 ,"-1,309 ","140,886 ",11.6 ,"29,047 ",12.3 ,"116,765 ",3.0 ,"28,737 ",18.6 ,
,4,"145,931 ",12.1 ,-,-,"121,678 ",4.0 ,"289,994 ",4.8 ,"79,074 ",9.9 ,"9,031 ",23.5 ,"34,817 ",5.2 ,"-1,244 ","137,173 ",3.8 ,"31,143 ",12.8 ,"115,683 ",-5.5 ,"28,380 ",16.8 ,
1990,1,"133,562 ",10.9 ,-,-,"124,326 ",7.6 ,"271,812 ",6.2 ,"79,402 ",8.7 ,"9,945 ",22.2 ,"35,949 ",6.3 ,-970 ,"116,571 ",4.1 ,"30,915 ",9.0 ,"108,285 ",-0.8 ,"29,965 ",14.1 ,
,2,"143,368 ",11.8 ,-,-,"134,373 ",11.7 ,"304,604 ",10.1 ,"81,762 ",14.5 ,"9,680 ",17.5 ,"38,026 ",7.9 ,"4,905 ","137,626 ",8.5 ,"32,605 ",10.6 ,"128,923 ",5.8 ,"32,313 ",21.6 ,
,3,"159,114 ",12.1 ,-,-,"140,513 ",19.6 ,"325,496 ",13.2 ,"89,133 ",18.4 ,"10,641 ",24.4 ,"39,783 ",13.7 ,956 ,"152,453 ",8.2 ,"32,530 ",12.0 ,"131,024 ",12.2 ,"35,358 ",23.0 ,
,4,"163,214 ",11.8 ,-,-,"148,880 ",22.4 ,"348,923 ",20.3 ,"94,005 ",18.9 ,"10,703 ",18.5 ,"43,335 ",24.5 ,837 ,"165,421 ",20.6 ,"34,622 ",11.2 ,"150,334 ",30.0 ,"35,375 ",24.6 ,
